#Step       Time (ps)  Kinetic (Eh)    Potential (Eh)        Total (Eh)     Temp. (K)    Restraint (Eh)
 234           0.0234    0.12683292      -15.62951438      -15.50268145        314.12        0.00000000
 235           0.0235    0.14560084      -15.62918390      -15.48358306        360.60        0.00000000
 236           0.0236    0.12438422      -15.62897920      -15.50459498        308.06        0.00000000
 237           0.0237    0.11543379      -15.62937142      -15.51393763        285.89        0.00000000
 238           0.0238    0.11167070      -15.62954332      -15.51787262        276.57        0.00000000
 239           0.0239    0.11597734      -15.62942843      -15.51345110        287.24        0.00000000
 240           0.0240    0.13401412      -15.62916506      -15.49515094        331.91        0.00000000
 241           0.0241    0.09488006      -15.62885060      -15.53397054        234.99        0.00000000
 242           0.0242    0.12833490      -15.62833293      -15.49999803        317.84        0.00000000
 243           0.0243    0.13203521      -15.62773767      -15.49570246        327.01        0.00000000
 244           0.0244    0.11761859      -15.62747313      -15.50985454        291.30        0.00000000
 245           0.0245    0.12671577      -15.62742617      -15.50071040        313.83        0.00000000
 246           0.0246    0.12771374      -15.62736994      -15.49965620        316.30        0.00000000
 247           0.0247    0.11939873      -15.62722085      -15.50782212        295.71        0.00000000
 248           0.0248    0.13069409      -15.62663717      -15.49594308        323.69        0.00000000
 249           0.0249    0.11678590      -15.62638892      -15.50960302        289.24        0.00000000
 250           0.0250    0.13179126      -15.62640484      -15.49461358        326.40        0.00000000
 251           0.0251    0.12006825      -15.62602029      -15.50595204        297.37        0.00000000
 252           0.0252    0.12202811      -15.62575660      -15.50372849        302.22        0.00000000
 253           0.0253    0.12668978      -15.62652342      -15.49983364        313.77        0.00000000
 254           0.0254    0.11689810      -15.62617623      -15.50927813        289.52        0.00000000
 255           0.0255    0.11754767      -15.62621363      -15.50866596        291.13        0.00000000
 256           0.0256    0.10684590      -15.62610319      -15.51925729        264.62        0.00000000
 257           0.0257    0.12069784      -15.62652495      -15.50582711        298.93        0.00000000
 258           0.0258    0.10807630      -15.62637021      -15.51829391        267.67        0.00000000
 259           0.0259    0.10828429      -15.62646074      -15.51817645        268.18        0.00000000
 260           0.0260    0.11952833      -15.62728423      -15.50775590        296.03        0.00000000
 261           0.0261    0.12176400      -15.62736113      -15.50559713        301.57        0.00000000
 262           0.0262    0.12950246      -15.62714282      -15.49764036        320.73        0.00000000
 263           0.0263    0.12783716      -15.62809324      -15.50025608        316.61        0.00000000
 264           0.0264    0.12779797      -15.62844125      -15.50064329        316.51        0.00000000
 265           0.0265    0.12507874      -15.62858874      -15.50351000        309.78        0.00000000
